Province/State,Country/Region,Lat,Long,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20
,Conceicao do Lago-Acu,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,2,12,12,13,13,14,20,21,21,21,21,21,21,21,21,21,24,24,24,24,38,39,39,39,39,47,47,48,55,62,62,68,75,109,110,110,110,110,110,110,111,112,116,117,117,121,125,125,125,126,126,126,126,127,133,134,135,136,136,137,138,139,139,139,139,139,139,140,140,140
,Coroata,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,12,15,20,37,37,44,44,62,62,62,62,62,100,100,140,165,166,167,167,167,168,168,169,169,170,170,179,179,179,179,179,180,180,180,182,183,184,238,238,238,238,238,239,253,253,253,269,284,296,322,382,403,415,427,455,466,496,533,552,552,552,552,554,563,565,581,581,593,611,615,624
,Cururupu,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2,5,5,5,5,5,5,5,5,7,9,9,9,9,13,14,15,15,15,15,15,15,15,16,22,22,25,28,28,28,28,56,56,60,60,60,60,61,121,121,121,182,182,182,182,182,182,182,239,257,257,257,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,258,272,276,291,295,295,295,296,297,297,297
,Davinopolis,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,4,4,4,4,4,5,5,5,9,10,10,13,14,17,17,17,30,30,30,30,37,39,39,39,56,65,69,72,72,74,91,100,103,107,107,112,112,114,114,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270,270
,Dom Pedro,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,3,3,5,16,28,28,28,28,28,28,28,30,31,31,31,31,33,35,35,36,37,39,39,40,40,40,41,41,41,41,41,41,41,41,41,41,42,42,43,43,43,43,43,43,43,44,45,45,45,46,46,46,46,46,47,47,47,47,47,47,47,48,48,49,49,49
,Duque Bacelar,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,11,11,11,12,18,22,26,33,34,34,40,50,57,57,68,68,68,81,86,88,88,96,96,96,106,111,119,119,130,130,132,149,153,162,164,164,164,164,164,190,192,207,213,213,213,221,232,240,249,250,252,255,266,267,272
,Esperantinopolis,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,4,7,10,14,22,28,30,33,34,65,65,101,101,101,128,129,163,164,173,175,175,195,216,226,245,296,296,308,325,346,359,359,359,386,402,410,410,446,446,446,455,460,475,486,508,512,512,523,529,529,529,529,536,536,536,536,536,536,538,538,538,543,543,558,562
,Estreito,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,5,5,5,5,8,15,16,16,16,24,24,28,31,31,50,61,64,75,79,92,92,111,111,131,135,135,135,170,181,181,216,235,242,256,266,275,275,304,326,328,332,352,360,379,389,389,389,423,423,425,438,452,469,492,507,522,538,540,546,551,572,585,623,640,643,643,645,661,662,670,679,689,689,690,735,749,763
,Feira Nova do Maranhao,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,5,5,7,7,7,9,10,10,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,13,13,13,13,13,13,13,15,15,19,20,20,24,24,24,26,26,26,29,29,30,36,36,42,42,42,42,54,55
,Fernando Falcao,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3,3,10,10,14,14,14,14,14,15,15,16,16,19,23,23,29,40,43,43,50,60,61,61,66,72,73,78,78,82,82,82,82,87,92,92,105,306,306,306,326,326,326,333,333,376,376,376,400,401,401,404,404,404,416,435,441,462,462,462,462,462,493,500,509
,Formosa da Serra Negra,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,12,14,20,20,20,20,22,22,23,23,26,27,28,29,30,32,34,40,40,40,42,43,43,45,45,45,45,46,53,53,53,53,53,56,56,57,57,59,60,60,60,66,71,72,79,79,79,80,80,80,95,113,123,123,123,139,147,153
,Fortaleza dos Nogueiras,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,7,9,9,11,11,13,13,15,15,15,15,18,18,18,18,21,21,22,22,22,25,25,26,26,27,27,28,28,28,28,28,28,28,29,29,29,29,31,31,31,31,35,36,36,37,37,37,41,41,45,50,53,53,53,62,62,83,93,103,103,106,118,118,131
,Fortuna,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3,3,3,7,12,12,12,12,12,16,19,24,24,24,25,32,32,49,51,51,59,60,60,66,71,76,76,76,78,82,92,97,100,100,100,106,113,114,119,119,119,121,126,133,136,143,145,145,145,149,153,165,166,166,166,166,166,169,174
,Godofredo Viana,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,5,5,5,7,7,7,7,10,10,10,10,14,17,17,20,20,20,20,20,20,25,26,26,26,31,31,31,31,31,31,31,34,37,38,38,38,38,38,46,47,49,49,51,52,52,52,58,58,58,61,61,61,61,66,66,66,66,66,66,66,66,66
,Goncalves Dias,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,7,7,7,7,7,7,7,7,11,11,11,13,13,13,16,18,18,18,19,19,19,26,26,29,29,35,35,36,36,36,44,57,57,57,57,57,57,57,57,57,58,72,72,72,73,73,73,75,75,77,77,77,77,79,171,171,171,171,171,171,171,172
,Governador Archer,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,15,15,15,19,19,36,47,48,48,48,48,48,48,103,103,114,114,120,120,120,121,121,134,137,141,152,158,166,166,166,167,169,170,171,174,174,175,177,178,180,182,183,183,187,187,187,189,195,196,204,204,204,207,209
,Governador Edison Lobao,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,5,5,5,7,7,7,13,13,24,30,32,36,36,37,45,45,45,45,45,45,45,45,68,89,100,101,101,110,125,136,141,141,144,149,156,164,164,164,168,168,168,170,170,170,170,170,172,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174,174
,Governador Eugenio Barros,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,7,9,10,10,10,13,17,17,25,29,29,29,29,29,29,29,29,29,29,44,44,83,83,83,83,89,98,100,100,100,110,110,110,110,121,121,121,121,121,128,128,128,140,143,143,144,148,148,154
,Governador Luiz Rocha,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,4,5,5,5,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,13,14,15,16,17,18,19,20,20,22,23,23,23,23,24,24,27,28,28,28,32,33,40,41,41,41,41,41,41,46
,Governador Newton Bello,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,6,8,8,10,10,10,10,10,41,41,55,55,61,62,62,62,62,64,64,64,64,64,65,154,154,154,154,154,154,154,154,169,185,185,194,205,230,230,250,250,258,264,271,271,271,280,283,300,300,300,300,320,335,335,346,346,360,360,360,366,374
,Governador Nunes Freire,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30,30,30,30,31,31,32,32,33,33,34,34,34,34,35,35,35,35,35,36,37,315,315,579,579,579,579,579,579,579,579,579,579,579,579,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,580,581,581,583,583,583
,Graca Aranha,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,5,5,7,9,9,9,9,12,12,15,15,20,23,25,25,26,26,26,30,39,40,40,41,51,57,57,57,57,57,61,61,62,62,62,87,87,87,87,87,87,87,87,103,104,104,104,104,104,104,108,112,112,114,114,114
,Grajau,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,4,5,5,5,5,5,5,5,5,5,5,5,8,101,112,112,144,144,145,177,177,199,199,199,220,238,267,267,301,344,395,395,432,448,476,477,497,540,579,618,633,663,663,694,703,755,807,836,862,864,902,947,977,1024,1070,1073,1078,1100,1171,1175,1201,1220,1267,1274,1284,1361,1373,1410
,Guimaraes,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4,5,20,20,22,22,23,26,31,31,31,33,33,33,33,48,54,54,64,64,65,71,71,75,75,75,76,80,80,92,98,98,98,98,98,98,101,117,117,117,117,118,119,133,133,137,137,137,141,142,151,151,151,151,154,154,154,154
,Humberto de Campos,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,6,6,8,8,8,10,10,10,11,11,11,11,13,14,14,15,15,16,16,30,30,31,31,32,86,110,110,110,110,110,110,110,148,155,155,155,155,155,155,155,155,156,157,158,159,160,161,162,164,166,168,170,172,174,174,174,176,176,180,180,190,203,203,217,231,233,245,251,252,252,255,278,286,315
,Icatu,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,4,5,5,6,8,8,8,8,8,9,43,43,44,44,44,45,45,81,81,81,81,82,82,82,82,88,94,100,106,112,119,126,133,140,147,154,161,161,167,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168,168
,Igarape Grande,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,53,53,72,72,73,102,103,122,135,153,176,194,205,205,205,209,215,247,247,269,294,296,311,316,336,360,360,365,398,431,467,467,470,470,480,488,489,489,517,549,566,566,567,571,583,587,587,587,587,587,587,643,670,703,716,716,717,747,765
,Igarape do Meio,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,5,5,8,9,10,10,10,11,11,13,13,21,21,22,25,25,25,29,42,46,48,55,56,61,70,75,75,75,78,81,86,116,119,119,131,135,135,135,135,135,135,135,135,135,135,135,135,135,136,137,138,139,140,140,140,140,140,145,150,153,153,153,153,158,158,159,160,160,169,170,173,173
,Imperatriz,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,4,5,5,5,5,10,12,12,14,17,17,22,23,34,34,47,54,54,82,88,92,92,113,132,136,165,190,219,242,261,278,305,409,457,458,500,517,523,574,653,852,865,887,982,1102,1155,1279,1381,1431,1506,1610,1724,1805,1902,1979,2034,2097,2172,2254,2406,2535,2578,2681,2729,2777,2890,2956,2981,3024,3057,3241,3350,3392,3471,3496,3500,3505,3571,3639,3710,3787,3872,3918,3925,3981,4062,4153,4183,4212,4217,4236,4309,4323,4382,4397,4403,4418,4433,4482,4488,4507
,Itaipava do Grajau,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,14,14,14,14,14,14,14,14,26,36,36,38,38,38,39,39,39,51,51,51,55,55,55,55,56,56,62,62,62,63,63,63,72,72,72,76,77,85,85,85,86,98,100,100,100,100,100,100,100,129,129,129,129,152,161,161
,Itapecuru Mirim,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,3,4,17,17,18,18,19,34,34,34,34,35,38,70,72,92,110,110,110,128,128,143,160,177,216,265,266,267,275,275,276,276,302,302,303,332,332,332,332,332,332,332,333,333,337,378,378,378,378,394,400,411,419,434,434,434,439,448,457,464,464,464,466,468,472,477,477,480,480,481,514,516,531
,Itinga do Maranhao,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,4,6,11,14,17,19,20,24,30,32,35,40,44,45,51,51,51,51,96,107,114,119,134,134,152,179,181,181,213,243,254,271,271,294,333,333,334,335,336,337,339,341,347,354,363,370,370,372,373,383,387,389,391,391,391,393,400,403,404,407,407,408,417,417,422,423,423,423,431,434,434,437
,Jatoba,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,4,8,8,8,8,8,8,12,12,12,12,15,15,15,15,15,15,26,33,33,33,33,33,33,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
,Jenipapo dos Vieiras,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,4,4,5,5,10,10,10,15,15,23,24,25,25,37,37,37,37,37,85,90,95,100,105,110,115,120,126,126,126,126,126,126,126,126,126,126,127,127,127,135,135,136,136,136,136,137,137,137,137,137,137,137,137,137,137,162
,Joao Lisboa,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,9,15,15,15,15,16,16,20,22,22,22,22,23,23,23,23,44,44,44,48,63,74,95,95,95,103,120,120,129,129,161,166,166,166,175,175,184,184,185,187,188,189,190,190,190,190,190,190,190,193,195,195,197,197,197,201,202,202,202,202,202,203,203,203,204,204,206,207,207,207
